,Learning rate,Nb. Units,Nb. Layers,Dropout,MAE
122,0.01,20,1,0.2,0.4330674810295202
123,0.01,20,1,0.3,0.4829072283112759
124,0.01,20,2,0.0,0.4447122296843784
125,0.01,20,2,0.1,0.5242423919670495
126,0.01,20,2,0.2,0.4850725313370141
127,0.01,20,2,0.3,0.6232069013590227
128,0.01,20,3,0.0,0.4259444521597027
129,0.01,20,3,0.1,0.6115811407218232
130,0.01,20,3,0.2,1.0531718957677665
131,0.01,20,3,0.3,0.558517448724484
132,0.01,20,4,0.0,0.4969901420204553
133,0.01,20,4,0.1,0.5151740727501012
134,0.01,20,4,0.2,0.5320657370589218
135,0.01,20,4,0.3,0.6854729440029786
136,0.01,20,5,0.0,0.44866413650712794
137,0.01,20,5,0.1,0.4392926957368425
138,0.01,20,5,0.2,0.5468534689053224
139,0.01,20,5,0.3,0.5602037946477715
140,0.01,40,1,0.0,0.5615256150946871
141,0.01,40,1,0.1,0.42349685213289084
142,0.01,40,1,0.2,0.45536129065868797
143,0.01,40,1,0.3,0.5160684656900775
144,0.01,40,2,0.0,0.4491950342973885
145,0.01,40,2,0.1,0.43365240086638196
146,0.01,40,2,0.2,0.6304725454270594
147,0.01,40,2,0.3,0.8199011030653118
148,0.01,40,3,0.0,0.427600683550792
149,0.01,40,3,0.1,0.49302158022944403
150,0.01,40,3,0.2,0.7165998184471226
151,0.01,40,3,0.3,0.529632602958144
152,0.01,40,4,0.0,0.44028306706764864
153,0.01,40,4,0.1,0.7090584664119566
154,0.01,40,4,0.2,0.5934494690099541
155,0.01,40,4,0.3,0.7138905035449534
156,0.01,40,5,0.0,0.47890307286598843
157,0.01,40,5,0.1,0.4868783191403077
158,0.01,40,5,0.2,0.556316354974484
159,0.01,40,5,0.3,0.6169402417368305
160,0.01,60,1,0.0,0.4462083104780316
161,0.01,60,1,0.1,0.710317677377438
162,0.01,60,1,0.2,0.46745153765742264
163,0.01,60,1,0.3,0.5703036226812187
164,0.01,60,2,0.0,0.4409027075828399
165,0.01,60,2,0.1,0.4347871325567364
166,0.01,60,2,0.2,0.5516418855770753
167,0.01,60,2,0.3,0.9029112950183419
168,0.01,60,3,0.0,0.49690845640927545
169,0.01,60,3,0.1,0.4478950186667697
170,0.01,60,3,0.2,0.42488496248172863
171,0.01,60,3,0.3,0.5037160163601564
172,0.01,60,4,0.0,0.42658913225919
173,0.01,60,4,0.1,0.5563810100411941
174,0.01,60,4,0.2,0.6968356486912708
175,0.01,60,4,0.3,0.5556437279014684
176,0.01,60,5,0.0,0.4791235140738742
177,0.01,60,5,0.1,0.4392269884567358
178,0.01,60,5,0.2,0.5174355038065326
179,0.01,60,5,0.3,0.5677012831927806
180,0.01,80,1,0.0,0.7102391899811978
181,0.01,80,1,0.1,0.4695002746411305
182,0.01,80,1,0.2,0.471057951689405
183,0.01,80,1,0.3,0.4557082021162948
184,0.01,80,2,0.0,0.42294024352682486
185,0.01,80,2,0.1,0.4782289853197762
186,0.01,80,2,0.2,0.4301629408829127
187,0.01,80,2,0.3,0.5275532161979772
188,0.01,80,3,0.0,0.5798933022328359
189,0.01,80,3,0.1,0.42234475282051726
190,0.01,80,3,0.2,0.9939857164704554
191,0.01,80,3,0.3,0.5374361863648648
192,0.01,80,4,0.0,0.42273005815433595
193,0.01,80,4,0.1,0.4299686602832346
194,0.01,80,4,0.2,0.5130324971820382
195,0.01,80,4,0.3,0.5940076075357807
196,0.01,80,5,0.0,0.48080999530447377
197,0.01,80,5,0.1,0.4357331122990591
198,0.01,80,5,0.2,0.5823370902628313
199,0.01,80,5,0.3,0.6857124320597064
200,0.01,100,1,0.0,0.7107307137238735
201,0.01,100,1,0.1,0.44374723355629614
202,0.01,100,1,0.2,0.586377950084696
203,0.01,100,1,0.3,0.710549372552609
204,0.01,100,2,0.0,0.4734742838498097
205,0.01,100,2,0.1,0.4311465742785164
206,0.01,100,2,0.2,0.6030317443595187
207,0.01,100,2,0.3,0.5014348905558002
208,0.01,100,3,0.0,0.48703520900381464
209,0.01,100,3,0.1,0.5217085326732481
210,0.01,100,3,0.2,0.4855667364060635
211,0.01,100,3,0.3,0.6965303056057618
212,0.01,100,4,0.0,0.48105287571698424
213,0.01,100,4,0.1,0.4347435738120334
214,0.01,100,4,0.2,0.5138811051227121
215,0.01,100,4,0.3,0.5130794921077575
216,0.01,100,5,0.0,0.4667398887681535
217,0.01,100,5,0.1,0.4383213860940507
218,0.01,100,5,0.2,0.5600080121770683
219,0.01,100,5,0.3,0.5854287157925294
220,0.01,120,1,0.0,0.41925550888534097
221,0.01,120,1,0.1,0.4296086085257785
222,0.01,120,1,0.2,0.6803457258219133
223,0.01,120,1,0.3,0.44692253085491607
224,0.01,120,2,0.0,0.4250297504445059
225,0.01,120,2,0.1,0.525452087325326
226,0.01,120,2,0.2,0.6017642900323441
227,0.01,120,2,0.3,0.7087137254437134
228,0.01,120,3,0.0,0.4997272892971975
229,0.01,120,3,0.1,0.42856872236724397
230,0.01,120,3,0.2,0.4182792062427073
231,0.01,120,3,0.3,1.128230996327546
232,0.01,120,4,0.0,0.5293357474783063
233,0.01,120,4,0.1,0.6539562430538023
234,0.01,120,4,0.2,0.5230828962102715
235,0.01,120,4,0.3,0.7098642529237027
236,0.01,120,5,0.0,0.4095354791497758
237,0.01,120,5,0.1,0.44244180861010846
238,0.01,120,5,0.2,0.5399069437130617
239,0.01,120,5,0.3,0.7090729041339426
240,0.001,20,1,0.0,0.5386153369106138
241,0.001,20,1,0.1,0.44274503125527065
242,0.001,20,1,0.2,0.43262074717585525
243,0.001,20,1,0.3,0.4500325478655524
244,0.001,20,2,0.0,0.42617355432438
245,0.001,20,2,0.1,0.42770255205626995
246,0.001,20,2,0.2,0.8647542499046422
247,0.001,20,2,0.3,0.9392438014350193
248,0.001,20,3,0.0,0.4619053917904837
249,0.001,20,3,0.1,0.4152009420796377
250,0.001,20,3,0.2,0.824138092427211
251,0.001,20,3,0.3,1.0338930288636439
252,0.001,20,4,0.0,0.4318690172923888
253,0.001,20,4,0.1,0.4955337852007576
254,0.001,20,4,0.2,1.0256674018825376
255,0.001,20,4,0.3,1.1784405505554587
256,0.001,20,5,0.0,0.5838101316090566
257,0.001,20,5,0.1,0.629194690916155
258,0.001,20,5,0.2,1.5392769065822445
259,0.001,20,5,0.3,0.9197843141005474
260,0.001,40,1,0.0,0.5025080862882733
261,0.001,40,1,0.1,0.4864638949087262
262,0.001,40,1,0.2,0.589122510446097
