Parameter0,Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,pH_Drain,EC_Drain,water
-4.232190654655366,2.8899295655056303,-0.4902638826431932,0.054282875737065125,0.03994959772600382,0.04834938663973426,8.933081998796644e-16,1.0944492582672558e-15,-6.946317069347094e-18,-0.7218473273194679,1.8069534569330405,4.4772
-4.216034072097514,2.89790691845643,-0.46231724375478656,0.06928231225904091,0.02574877955233842,-0.06184145101479337,8.845925007414412e-16,1.0884601365648584e-16,-3.3239876537137773e-17,-0.37417318950241735,1.7763976223980642,4.8216
-4.204491206169997,2.906501425689733,-0.4399180809433745,0.031714971816308946,0.034026205511537594,-0.00775909013121028,8.928457457945252e-16,3.0153730183484423e-16,-1.3335799423313126e-17,-0.1719046322862133,1.7078858585351757,4.8216
-4.140469543655501,2.90247014289124,-0.37513907752004494,0.0647542709059524,0.012748885728720724,-0.050067615182279285,8.884536318016329e-16,-1.1713430327014546e-16,-1.1167749319761523e-17,0.04360317206307984,1.6953150645800625,3.9606
-4.134953719454244,2.9180691774623098,-0.36783744577218036,0.060971728787497216,0.00934095781191441,-0.04178133522863473,8.76311653558005e-16,-9.55389373866846e-17,-2.0518049404188755e-17,-0.02952105308887062,1.5904772659776718,4.4772
-3.867084217003041,3.0116653337007473,-0.4146619345625185,0.03792773323320062,-0.0013539640078451653,0.013022854022996485,8.929943391017913e-16,6.178480054043584e-16,-2.327535127967236e-17,-0.19272972106951874,1.7735312565167611,4.6494
-3.8390139807382275,3.0090017160554026,-0.35630801105161475,-0.018079563697312315,0.00288344389091411,-0.07392656699124997,8.699925317766613e-16,-1.669405881807094e-15,2.336342664732013e-17,-0.23318754417000426,1.8290413347819416,5.5104
-3.8206828042309944,3.012854932560284,-0.32904747694989117,0.004662484476765741,-0.008047394730433718,0.009236885414695018,8.900395290653e-16,1.738661751224436e-16,1.9719213997813205e-17,-0.508539211774199,1.9288395755348298,4.305
-3.7943009308846887,3.0115835773058524,-0.2725052945665908,-0.07552991214895617,0.013464433112765632,-0.004880607719147365,8.807818404084656e-16,-6.335951095910662e-16,1.6298792079762178e-17,-0.5327974592215815,2.009997071095324,4.8216
-4.090312661390003,2.924705278917584,-0.17047109748643746,-0.05987691973868854,0.029448705250732662,-0.021774786160701387,8.784863431777882e-16,-7.185280752454314e-16,2.192489023491003e-17,-0.7450982408494723,2.1456529864730443,4.6494
-4.067494333899941,2.9251840788471144,-0.1279529308100434,-0.01915637778720914,-0.004307406569233868,-0.027084522575712863,9.032835652593196e-16,8.445744240202291e-16,3.289124676746542e-17,-0.8858988657448139,2.3181407661003464,4.4772
-3.8020672222905394,3.018451821038579,-0.17660753036752988,-0.07219400369572333,-0.0024878592891267484,-0.0032561947752995602,8.864601056644048e-16,-1.8068577467235176e-16,9.253579419486895e-19,-0.801940660206892,2.3633375474584812,4.018
-3.7765835888811017,3.017764126418388,-0.12745071084937742,-0.06411107825472809,-0.022966802349026722,-0.042478325719477954,9.216368151595445e-16,9.363045368026576e-16,-3.388384874907748e-17,-0.7242731523252907,1.3675095988642574,3.6736
-3.7751807534944315,3.035625371103164,-0.12489409046861102,-0.0900107996821212,-0.006746079858448991,0.01025767145353777,8.812030720086597e-16,-4.823912000044901e-16,-8.91027982602299e-18,-0.5002955192492057,0.5207795093919261,3.6162
-3.776570384988464,3.0579718145283996,-0.13100394268952908,-0.08898623206542378,-0.005033661274306853,-0.037693951550218666,8.877254519201026e-16,4.1795418731653364e-19,2.64001664881879e-17,-0.3917295823058483,0.3258104292056189,3.0996
-3.75835477078619,3.0616570387435154,-0.0983771399790573,-0.0690856369858342,-0.019192042053054487,0.001560104570136765,8.91526744947351e-16,1.301506720675933e-15,1.2495421573452998e-17,-0.4403694244564551,0.1495008285089912,3.9606
-3.7558773748557512,3.080209839174469,-0.09946136503436229,-0.03922140296064848,-0.03096836399449631,-0.01995225517125665,8.915694445916254e-16,-6.700536981990175e-17,-1.0863028501952692e-17,-0.36358590380445455,0.09214541003604922,3.7884
-3.3561108961686017,3.2346648336574098,-0.2368268730856919,-0.09180034454117093,-0.038716502369142314,-0.04940930146352127,8.703536284444913e-16,3.543584297540071e-16,3.0530286968199384e-17,-0.31591227979959524,0.07770117432203955,4.1328
-4.151956736020986,3.0164889484067183,-0.017857537413070747,-0.09309711621701366,0.023766760579656186,-0.08361172122059633,8.842302847457705e-16,-1.0979735128157953e-15,1.2584748713094787e-16,-0.23382483705759954,0.112828206714326,4.6494
-4.145849308626765,3.0304351535353113,-0.007394947514038724,-0.0653105626204143,0.00951717015491803,-0.04201184650616596,8.94927110850625e-16,-4.601213678820939e-16,9.672038083551552e-17,-0.3485992406818538,0.18760663310265677,3.444
-4.144372672496623,3.049919793475877,-0.0010233354608159848,-0.09287938350432741,0.028603233726730636,-0.0489598313868676,8.805479688650689e-16,6.86582674652702e-16,1.2322410840919718e-16,-0.25205963844998985,0.16426354919187572,4.4772
-4.135460761255758,3.061039897135292,0.020890393968679855,-0.10289371064992299,0.01770822457190753,-0.021329328458899087,8.993580761053604e-16,9.47433950429037e-16,8.243419242503266e-17,-0.36913651965748956,0.1265418000908957,4.305
-4.14333434871578,3.088774346109298,0.0013531033365221403,-0.06501052274512575,0.009886459681987689,-0.04786195504873082,8.750821079905143e-16,-8.309391722835478e-16,3.575688046506595e-16,-0.4606394516956764,0.17509204240180862,4.1328
-4.147958029546412,3.1120618823575263,-0.007522665155013151,-0.061661019890032684,0.004494922401314392,-0.013224638716348781,8.758068857920588e-16,-8.620593595845609e-16,-3.847671704300089e-17,-0.3697943701338539,0.1416979436961982,3.6162
-4.146208878976315,3.1316435835716336,-0.0007519267624482875,-0.08933167407540125,0.023885851330475723,-0.023264837700963055,8.968033020286017e-16,2.212180113050839e-16,2.999336791844818e-17,-0.3520529570794628,0.04381998072648056,4.4772
-4.145252746616932,3.1497969460215502,0.004744449832129319,-0.09711020006733041,0.007156358281053674,-0.01652070926360333,9.068107095829992e-16,1.3788009486744363e-15,1.0445081812316464e-16,-0.346008953139288,-0.038021321011492214,3.2718
-4.130399182303169,3.1594032398244756,0.03644239668092383,-0.10135095997510901,0.023189772797347765,-0.06308965534096532,8.950912386588287e-16,-6.785904180049848e-16,3.1212795113767555e-17,-0.054930540326637,-0.12694423250190576,3.9606
-4.132611723793448,3.157352119459582,0.021118898283030346,-0.16428942620596954,0.03296082139039515,-0.02309491492441862,8.977243604318914e-16,2.987338868190505e-16,4.79709543715017e-16,-0.06514778532143392,-0.1609659342136478,3.9606
-4.095646803818071,3.1447648871074882,0.10143574524611357,-0.16318069623643236,0.014495744314448554,-0.010369141129375406,8.81014580545833e-16,-6.867606542166403e-16,5.5038187215973043e-17,-0.16658015256468722,-0.1469525901353216,3.444
